iter	Passed	Remaining
0	1	103
1	1	89
2	2	83
3	3	75
4	3	74
5	4	73
6	5	71
7	6	69
8	7	77
9	8	78
10	9	77
11	10	76
12	11	75
13	11	73
14	12	71
15	13	69
16	13	68
17	14	66
18	15	65
19	16	64
20	16	62
21	17	61
22	18	60
23	18	59
24	19	59
25	20	57
26	21	58
27	23	59
28	24	59
29	25	58
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	29	53
36	30	52
37	31	51
38	32	50
39	32	49
40	33	48
41	33	46
42	34	45
43	35	44
44	36	44
45	36	43
46	37	42
47	38	41
48	39	41
49	40	40
50	41	39
51	42	38
52	42	37
53	43	37
54	43	35
55	44	34
56	45	34
57	45	33
58	46	32
59	47	31
60	48	30
61	49	30
62	49	29
63	50	28
64	51	27
65	52	26
66	53	26
67	54	25
68	55	24
69	55	23
70	56	23
71	57	22
72	58	21
73	58	20
74	59	19
75	60	19
76	61	18
77	61	17
78	62	16
79	63	15
80	64	15
81	65	14
82	67	13
83	68	12
84	68	12
85	69	11
86	70	10
87	71	9
88	72	8
89	72	8
90	73	7
91	74	6
92	74	5
93	75	4
94	76	4
95	76	3
96	77	2
97	78	1
98	78	0
99	79	0
